   99.00000       1.000032      0.9999985    
   49.00000       1.000009      0.9999902    
   32.33333      0.9999913      0.9999727    
   24.00000      0.9999639      0.9999432    
   19.00000      0.9999305      0.9999001    
   15.66667      0.9998833      0.9998419    
   13.28571      0.9998271      0.9997675    
   11.50000      0.9997579      0.9996763    
   10.11111      0.9996774      0.9995672    
   9.000000      0.9995843      0.9994398    
   8.090909      0.9994791      0.9992937    
   7.333333      0.9993612      0.9991284    
   6.692307      0.9992310      0.9989438    
   6.142857      0.9990892      0.9987395    
   5.666667      0.9989359      0.9985161    
   5.250000      0.9987687      0.9982733    
   4.882353      0.9985935      0.9980109    
   4.555555      0.9984088      0.9977302    
   4.263158      0.9982145      0.9974307    
   4.000000      0.9980118      0.9971129    
   3.761905      0.9978012      0.9967777    
   3.545455      0.9975836      0.9964251    
   3.347826      0.9973599      0.9960558    
   3.166667      0.9971306      0.9956709    
   3.000000      0.9968975      0.9952707    
   2.846154      0.9966611      0.9948567    
   2.703704      0.9964222      0.9944280    
   2.571429      0.9961821      0.9939875    
   2.448276      0.9959422      0.9935350    
   2.333333      0.9957030      0.9930717    
   2.225806      0.9954663      0.9925983    
   2.125000      0.9952325      0.9921162    
   2.030303      0.9950033      0.9916259    
   1.941176      0.9947796      0.9911292    
   1.857143      0.9945626      0.9906265    
   1.777778      0.9943534      0.9901190    
   1.702703      0.9941528      0.9896074    
   1.631579      0.9939619      0.9890931    
   1.564103      0.9937829      0.9885774    
   1.500000      0.9936159      0.9880604    
   1.439024      0.9934617      0.9875440    
   1.380952      0.9933217      0.9870285    
   1.325581      0.9931964      0.9865152    
   1.272727      0.9930863      0.9860047    
   1.222222      0.9929942      0.9854981    
   1.173913      0.9929194      0.9849967    
   1.127660      0.9928625      0.9845003    
   1.083333      0.9928251      0.9840100    
   1.040816      0.9928076      0.9835271    
   1.000000      0.9928106      0.9830515    
  0.9607843      0.9928343      0.9825845    
  0.9230769      0.9928800      0.9821265    
  0.8867924      0.9929474      0.9816774    
  0.8518518      0.9930376      0.9812384    
  0.8181819      0.9931509      0.9808097    
  0.7857143      0.9932870      0.9803919    
  0.7543859      0.9934469      0.9799853    
  0.7241379      0.9936309      0.9795901    
  0.6949153      0.9938387      0.9792066    
  0.6666666      0.9940702      0.9788350    
  0.6393442      0.9943265      0.9784759    
  0.6129032      0.9946072      0.9781292    
  0.5873016      0.9949120      0.9777949    
  0.5625000      0.9952416      0.9774731    
  0.5384616      0.9955955      0.9771641    
  0.5151515      0.9959733      0.9768678    
  0.4925373      0.9963761      0.9765842    
  0.4705882      0.9968023      0.9763132    
  0.4492754      0.9972528      0.9760551    
  0.4285715      0.9977269      0.9758092    
  0.4084507      0.9982250      0.9755763    
  0.3888888      0.9987459      0.9753551    
  0.3698630      0.9992902      0.9751466    
  0.3513514      0.9998568      0.9749500    
  0.3333334       1.000447      0.9747657    
  0.3157895       1.001059      0.9745927    
  0.2987013       1.001693      0.9744313    
  0.2820513       1.002349      0.9742810    
  0.2658228       1.003026      0.9741421    
  0.2500000       1.003724      0.9740143    
  0.2345679       1.004443      0.9738967    
  0.2195122       1.005181      0.9737898    
  0.2048193       1.005941      0.9736928    
  0.1904762       1.006719      0.9736062    
  0.1764706       1.007518      0.9735289    
  0.1627907       1.008335      0.9734610    
  0.1494253       1.009168      0.9734024    
  0.1363636       1.010022      0.9733528    
  0.1235955       1.010894      0.9733117    
  0.1111112       1.011783      0.9732791    
  9.8901153E-02   1.012690      0.9732546    
  8.6956501E-02   1.013612      0.9732378    
  7.5268865E-02   1.014552      0.9732291    
  6.3829780E-02   1.015507      0.9732276    
  5.2631617E-02   1.016479      0.9732332    
  4.1666627E-02   1.017466      0.9732457    
  3.0927777E-02   1.018469      0.9732652    
  2.0408154E-02   1.019485      0.9732907    
  1.0100961E-02   1.020516      0.9733228    
  0.0000000E+00   1.021561      0.9733604    
