   99.00000       1.000034       1.000000    
   49.00000       1.000019       1.000003    
   32.33333       1.000021       1.000009    
   24.00000       1.000027       1.000019    
   19.00000       1.000043       1.000037    
   15.66667       1.000062       1.000062    
   13.28571       1.000092       1.000095    
   11.50000       1.000128       1.000137    
   10.11111       1.000174       1.000190    
   9.000000       1.000229       1.000254    
   8.090909       1.000294       1.000330    
   7.333333       1.000368       1.000418    
   6.692307       1.000452       1.000519    
   6.142857       1.000547       1.000633    
   5.666667       1.000652       1.000761    
   5.250000       1.000764       1.000903    
   4.882353       1.000889       1.001060    
   4.555555       1.001025       1.001231    
   4.263158       1.001170       1.001418    
   4.000000       1.001325       1.001619    
   3.761905       1.001489       1.001835    
   3.545455       1.001663       1.002066    
   3.347826       1.001845       1.002312    
   3.166667       1.002034       1.002572    
   3.000000       1.002232       1.002847    
   2.846154       1.002437       1.003136    
   2.703704       1.002647       1.003439    
   2.571429       1.002863       1.003756    
   2.448276       1.003083       1.004085    
   2.333333       1.003307       1.004428    
   2.225806       1.003534       1.004781    
   2.125000       1.003763       1.005147    
   2.030303       1.003993       1.005524    
   1.941176       1.004223       1.005910    
   1.857143       1.004452       1.006306    
   1.777778       1.004679       1.006711    
   1.702703       1.004902       1.007124    
   1.631579       1.005121       1.007544    
   1.564103       1.005335       1.007970    
   1.500000       1.005543       1.008396    
   1.439024       1.005742       1.008839    
   1.380952       1.005933       1.009272    
   1.325581       1.006113       1.009715    
   1.272727       1.006282       1.010167    
   1.222222       1.006439       1.010614    
   1.173913       1.006583       1.011060    
   1.127660       1.006711       1.011506    
   1.083333       1.006825       1.011935    
   1.040816       1.006922       1.012394    
   1.000000       1.007002       1.012833    
  0.9607843       1.007063       1.013269    
  0.9230769       1.007105       1.013698    
  0.8867924       1.007126       1.014122    
  0.8518518       1.007127       1.014547    
  0.8181819       1.007106       1.014960    
  0.7857143       1.007062       1.015366    
  0.7543859       1.006995       1.015765    
  0.7241379       1.006905       1.016155    
  0.6949153       1.006790       1.016537    
  0.6666666       1.006650       1.016909    
  0.6393442       1.006485       1.017272    
  0.6129032       1.006294       1.017624    
  0.5873016       1.006077       1.017966    
  0.5625000       1.005834       1.018297    
  0.5384616       1.005565       1.018593    
  0.5151515       1.005268       1.018927    
  0.4925373       1.004945       1.019225    
  0.4705882       1.004594       1.019511    
  0.4492754       1.004216       1.019786    
  0.4285715       1.003812       1.020048    
  0.4084507       1.003380       1.020300    
  0.3888888       1.002921       1.020539    
  0.3698630       1.002435       1.020749    
  0.3513514       1.001922       1.020982    
  0.3333334       1.001383       1.021187    
  0.3157895       1.000818       1.021379    
  0.2987013       1.000225       1.021560    
  0.2820513      0.9996074       1.021730    
  0.2658228      0.9989634       1.021888    
  0.2500000      0.9982942       1.022036    
  0.2345679      0.9975993       1.022153    
  0.2195122      0.9968790       1.022299    
  0.2048193      0.9961353       1.022414    
  0.1904762      0.9953665       1.022519    
  0.1764706      0.9945749       1.022614    
  0.1627907      0.9937596       1.022699    
  0.1494253      0.9929189       1.022774    
  0.1363636      0.9920576       1.022841    
  0.1235955      0.9911742       1.022898    
  0.1111112      0.9902688       1.022946    
  9.8901153E-02  0.9893417       1.022985    
  8.6956501E-02  0.9883929       1.023016    
  7.5268865E-02  0.9874243       1.023039    
  6.3829780E-02  0.9864344       1.023055    
  5.2631617E-02  0.9854255       1.023062    
  4.1666627E-02  0.9843960       1.023063    
  3.0927777E-02  0.9833485       1.023056    
  2.0408154E-02  0.9822817       1.023042    
  1.0100961E-02  0.9811963       1.023020    
  0.0000000E+00  0.9800925       1.022995    
