4.22675e+11 0.00188712 0.00189794 0.00187629 0.0080903
5.58174e+11 0.00903354 0.00905722 0.00900986 0.00786386
7.37111e+11 0.0111263 0.0111526 0.0111 0.00677992
9.73412e+11 0.00985185 0.00987658 0.00982711 0.00544486
1.28546e+12 0.00778671 0.0078087 0.00776472 0.00426272
1.69755e+12 0.00621024 0.00622988 0.00619061 0.00332839
2.24175e+12 0.00487805 0.00489545 0.00486065 0.00258321
2.9604e+12 0.00376091 0.00377619 0.00374563 0.00199789
3.90943e+12 0.00296635 0.00297992 0.00295277 0.00154661
5.16271e+12 0.00231667 0.00232867 0.00230468 0.00119068
6.81775e+12 0.00180113 0.00181171 0.00179056 0.000912696
9.00335e+12 0.00141441 0.00142378 0.00140503 0.000696577
1.18896e+13 0.00108314 0.00109134 0.00107494 0.00052686
1.57011e+13 0.000841671 0.0008489 0.000834441 0.000396892
2.07346e+13 0.000655262 0.000661641 0.000648884 0.0002959
2.73816e+13 0.000496864 0.000502419 0.00049131 0.000217274
3.61594e+13 0.00036964 0.00037443 0.000364849 0.000157654
4.77513e+13 0.000285874 0.000290087 0.000281661 0.000113301
6.30592e+13 0.000206706 0.000210289 0.000203123 7.89985e-05
8.32745e+13 0.00014952 0.000152567 0.000146473 5.41955e-05
1.0997e+14 0.000106178 0.000108746 0.000103611 3.62545e-05
1.45224e+14 7.28966e-05 7.50241e-05 7.07691e-05 2.3514e-05
1.9178e+14 4.93639e-05 5.11147e-05 4.76132e-05 1.47671e-05
2.5326e+14 3.36541e-05 3.50997e-05 3.22086e-05 8.84384e-06
3.34449e+14 1.8131e-05 1.91921e-05 1.707e-05 4.80562e-06
4.41665e+14 1.1363e-05 1.2203e-05 1.0523e-05 2.63005e-06
5.83252e+14 5.65042e-06 6.24274e-06 5.05809e-06 1.2666e-06
7.70229e+14 2.79416e-06 3.21069e-06 2.37763e-06 5.88596e-07
1.01715e+15 1.49023e-06 1.79442e-06 1.18604e-06 2.5332e-07
1.34322e+15 6.20925e-07 8.17279e-07 4.24571e-07 7.45058e-08
