 0.4957932E-03 at R=8Mpc/h  0.1995316E-05 at Rsmooth=   130.    
 #   k/h   P(k)
   0.404473E-02   0.131637E+02
   0.412644E-02   0.133585E+02
   0.420980E-02   0.135544E+02
   0.429484E-02   0.137514E+02
   0.438160E-02   0.139495E+02
   0.447012E-02   0.141485E+02
   0.456042E-02   0.143485E+02
   0.465255E-02   0.145493E+02
   0.474653E-02   0.147509E+02
   0.484242E-02   0.149531E+02
   0.494024E-02   0.151560E+02
   0.504004E-02   0.153594E+02
   0.514186E-02   0.155634E+02
   0.524573E-02   0.157678E+02
   0.535170E-02   0.159727E+02
   0.545981E-02   0.161778E+02
   0.557011E-02   0.163831E+02
   0.568263E-02   0.165884E+02
   0.579743E-02   0.167936E+02
   0.591455E-02   0.169984E+02
   0.603403E-02   0.172029E+02
   0.615592E-02   0.174069E+02
   0.628028E-02   0.176103E+02
   0.640715E-02   0.178130E+02
   0.653658E-02   0.180149E+02
   0.666863E-02   0.182158E+02
   0.680335E-02   0.184156E+02
   0.694078E-02   0.186143E+02
   0.708100E-02   0.188116E+02
   0.722404E-02   0.190073E+02
   0.736998E-02   0.192014E+02
   0.751886E-02   0.193937E+02
   0.767075E-02   0.195839E+02
   0.782571E-02   0.197719E+02
   0.798380E-02   0.199576E+02
   0.814509E-02   0.201406E+02
   0.830963E-02   0.203209E+02
   0.847750E-02   0.204982E+02
   0.864875E-02   0.206723E+02
   0.882347E-02   0.208430E+02
   0.900171E-02   0.210102E+02
   0.918356E-02   0.211735E+02
   0.936908E-02   0.213329E+02
   0.955835E-02   0.214880E+02
   0.975144E-02   0.216386E+02
   0.994843E-02   0.217847E+02
   0.101494E-01   0.219258E+02
   0.103544E-01   0.220619E+02
   0.105636E-01   0.221926E+02
   0.107770E-01   0.223177E+02
   0.109947E-01   0.224371E+02
   0.112168E-01   0.225504E+02
   0.114434E-01   0.226574E+02
   0.116746E-01   0.227578E+02
   0.119104E-01   0.228515E+02
   0.121510E-01   0.229381E+02
   0.123965E-01   0.230174E+02
   0.126469E-01   0.230891E+02
   0.129024E-01   0.231529E+02
   0.131631E-01   0.232086E+02
   0.134290E-01   0.232560E+02
   0.137003E-01   0.232948E+02
   0.139770E-01   0.233247E+02
   0.142594E-01   0.233455E+02
   0.145474E-01   0.233570E+02
   0.148413E-01   0.233589E+02
   0.151411E-01   0.233510E+02
   0.154470E-01   0.233332E+02
   0.157590E-01   0.233052E+02
   0.160774E-01   0.232668E+02
   0.164022E-01   0.232179E+02
   0.167335E-01   0.231583E+02
   0.170716E-01   0.230878E+02
   0.174164E-01   0.230064E+02
   0.177683E-01   0.229140E+02
   0.181272E-01   0.228104E+02
   0.184934E-01   0.226955E+02
   0.188670E-01   0.225694E+02
   0.192481E-01   0.224319E+02
   0.196370E-01   0.222831E+02
   0.200337E-01   0.221231E+02
   0.204384E-01   0.219518E+02
   0.208513E-01   0.217695E+02
   0.212725E-01   0.215761E+02
   0.217022E-01   0.213720E+02
   0.221406E-01   0.211573E+02
   0.225879E-01   0.209323E+02
   0.230442E-01   0.206972E+02
   0.235097E-01   0.204525E+02
   0.239847E-01   0.201984E+02
   0.244692E-01   0.199355E+02
   0.249635E-01   0.196641E+02
   0.254678E-01   0.193848E+02
   0.259823E-01   0.190980E+02
   0.265072E-01   0.188044E+02
   0.270426E-01   0.185045E+02
   0.275889E-01   0.181992E+02
   0.281463E-01   0.178892E+02
   0.287149E-01   0.175751E+02
   0.292949E-01   0.172577E+02
   0.298867E-01   0.169379E+02
   0.304905E-01   0.166165E+02
   0.311064E-01   0.162944E+02
   0.317348E-01   0.159724E+02
   0.323759E-01   0.156512E+02
   0.330299E-01   0.153316E+02
   0.336972E-01   0.150142E+02
   0.343779E-01   0.146998E+02
   0.350724E-01   0.143889E+02
   0.357809E-01   0.140822E+02
   0.365038E-01   0.137810E+02
   0.372412E-01   0.134865E+02
   0.379935E-01   0.131999E+02
   0.387610E-01   0.129220E+02
   0.395440E-01   0.126539E+02
