#           k/h    P           
   0.420980E-02   0.769401E+04
   0.429484E-02   0.775813E+04
   0.438160E-02   0.782206E+04
   0.447012E-02   0.788579E+04
   0.456042E-02   0.794928E+04
   0.465255E-02   0.801251E+04
   0.474653E-02   0.807546E+04
   0.484242E-02   0.813808E+04
   0.494024E-02   0.820035E+04
   0.504004E-02   0.826224E+04
   0.514186E-02   0.832372E+04
   0.524573E-02   0.838475E+04
   0.535170E-02   0.844531E+04
   0.545981E-02   0.850536E+04
   0.557011E-02   0.856488E+04
   0.568263E-02   0.862385E+04
   0.579743E-02   0.868223E+04
   0.591455E-02   0.873998E+04
   0.603403E-02   0.879704E+04
   0.615592E-02   0.885334E+04
   0.628028E-02   0.890883E+04
   0.640715E-02   0.896344E+04
   0.653658E-02   0.901713E+04
   0.666863E-02   0.906985E+04
   0.680335E-02   0.912156E+04
   0.694078E-02   0.917221E+04
   0.708100E-02   0.922177E+04
   0.722404E-02   0.927019E+04
   0.736998E-02   0.931742E+04
   0.751886E-02   0.936342E+04
   0.767075E-02   0.940814E+04
   0.782571E-02   0.945154E+04
   0.798380E-02   0.949355E+04
   0.814509E-02   0.953413E+04
   0.830963E-02   0.957320E+04
   0.847750E-02   0.961072E+04
   0.864875E-02   0.964662E+04
   0.882347E-02   0.968084E+04
   0.900171E-02   0.971332E+04
   0.918356E-02   0.974398E+04
   0.936908E-02   0.977277E+04
   0.955835E-02   0.979962E+04
   0.975144E-02   0.982446E+04
   0.994843E-02   0.984723E+04
   0.101494E-01   0.986785E+04
   0.103544E-01   0.988627E+04
   0.105636E-01   0.990242E+04
   0.107770E-01   0.991622E+04
   0.109947E-01   0.992761E+04
   0.112168E-01   0.993651E+04
   0.114434E-01   0.994287E+04
   0.116746E-01   0.994662E+04
   0.119104E-01   0.994767E+04
   0.121510E-01   0.994597E+04
   0.123965E-01   0.994143E+04
   0.126469E-01   0.993400E+04
   0.129024E-01   0.992360E+04
   0.131631E-01   0.991016E+04
   0.134290E-01   0.989362E+04
   0.137003E-01   0.987391E+04
   0.139770E-01   0.985096E+04
   0.142594E-01   0.982472E+04
   0.145474E-01   0.979512E+04
   0.148413E-01   0.976211E+04
   0.151411E-01   0.972562E+04
   0.154470E-01   0.968562E+04
   0.157590E-01   0.964205E+04
   0.160774E-01   0.959487E+04
   0.164022E-01   0.954404E+04
   0.167335E-01   0.948952E+04
   0.170716E-01   0.943128E+04
   0.174164E-01   0.936931E+04
   0.177683E-01   0.930358E+04
   0.181272E-01   0.923409E+04
   0.184934E-01   0.916083E+04
   0.188670E-01   0.908382E+04
   0.192481E-01   0.900305E+04
   0.196370E-01   0.891856E+04
   0.200337E-01   0.883038E+04
   0.204384E-01   0.873856E+04
   0.208513E-01   0.864316E+04
   0.212725E-01   0.854422E+04
   0.217022E-01   0.844183E+04
   0.221406E-01   0.833609E+04
   0.225879E-01   0.822711E+04
   0.230442E-01   0.811499E+04
   0.235097E-01   0.799985E+04
   0.239847E-01   0.788185E+04
   0.244692E-01   0.776115E+04
   0.249635E-01   0.763795E+04
   0.254678E-01   0.751242E+04
   0.259823E-01   0.738474E+04
   0.265072E-01   0.725513E+04
   0.270426E-01   0.712384E+04
   0.275889E-01   0.699111E+04
   0.281463E-01   0.685717E+04
   0.287149E-01   0.672224E+04
   0.292949E-01   0.658665E+04
   0.298867E-01   0.645075E+04
   0.304905E-01   0.631487E+04
