    0.10000E-03    0.57648E+03
    0.10202E-03    0.58765E+03
    0.10408E-03    0.59903E+03
    0.10618E-03    0.61064E+03
    0.10833E-03    0.62247E+03
    0.11052E-03    0.63452E+03
    0.11275E-03    0.64681E+03
    0.11503E-03    0.65934E+03
    0.11735E-03    0.67211E+03
    0.11972E-03    0.68513E+03
    0.12214E-03    0.69840E+03
    0.12461E-03    0.71192E+03
    0.12712E-03    0.72571E+03
    0.12969E-03    0.73977E+03
    0.13231E-03    0.75409E+03
    0.13499E-03    0.76869E+03
    0.13771E-03    0.78357E+03
    0.14049E-03    0.79875E+03
    0.14333E-03    0.81421E+03
    0.14623E-03    0.82997E+03
    0.14918E-03    0.84604E+03
    0.15220E-03    0.86242E+03
    0.15527E-03    0.87911E+03
    0.15841E-03    0.89613E+03
    0.16161E-03    0.91347E+03
    0.16487E-03    0.93115E+03
    0.16820E-03    0.94917E+03
    0.17160E-03    0.96753E+03
    0.17507E-03    0.98625E+03
    0.17860E-03    0.10053E+04
    0.18221E-03    0.10248E+04
    0.18589E-03    0.10446E+04
    0.18965E-03    0.10648E+04
    0.19348E-03    0.10854E+04
    0.19739E-03    0.11064E+04
    0.20138E-03    0.11278E+04
    0.20544E-03    0.11496E+04
    0.20959E-03    0.11718E+04
    0.21383E-03    0.11945E+04
    0.21815E-03    0.12176E+04
    0.22255E-03    0.12411E+04
    0.22705E-03    0.12651E+04
    0.23164E-03    0.12895E+04
    0.23632E-03    0.13144E+04
    0.24109E-03    0.13398E+04
    0.24596E-03    0.13657E+04
    0.25093E-03    0.13921E+04
    0.25600E-03    0.14189E+04
    0.26117E-03    0.14463E+04
    0.26645E-03    0.14742E+04
    0.27183E-03    0.15027E+04
    0.27732E-03    0.15317E+04
    0.28292E-03    0.15612E+04
    0.28864E-03    0.15913E+04
    0.29447E-03    0.16220E+04
    0.30042E-03    0.16533E+04
    0.30649E-03    0.16852E+04
    0.31268E-03    0.17177E+04
    0.31899E-03    0.17508E+04
    0.32544E-03    0.17845E+04
    0.33201E-03    0.18188E+04
    0.33872E-03    0.18539E+04
    0.34556E-03    0.18895E+04
    0.35254E-03    0.19259E+04
    0.35966E-03    0.19630E+04
    0.36693E-03    0.20007E+04
    0.37434E-03    0.20392E+04
    0.38190E-03    0.20784E+04
    0.38962E-03    0.21183E+04
    0.39749E-03    0.21590E+04
    0.40552E-03    0.22004E+04
    0.41371E-03    0.22427E+04
    0.42207E-03    0.22857E+04
    0.43060E-03    0.23296E+04
    0.43929E-03    0.23742E+04
    0.44817E-03    0.24197E+04
    0.45722E-03    0.24661E+04
    0.46646E-03    0.25133E+04
    0.47588E-03    0.25614E+04
    0.48550E-03    0.26104E+04
    0.49530E-03    0.26603E+04
    0.50531E-03    0.27112E+04
    0.51552E-03    0.27630E+04
    0.52593E-03    0.28157E+04
    0.53656E-03    0.28695E+04
    0.54739E-03    0.29242E+04
    0.55845E-03    0.29799E+04
    0.56973E-03    0.30367E+04
    0.58124E-03    0.30945E+04
    0.59299E-03    0.31534E+04
    0.60496E-03    0.32134E+04
    0.61719E-03    0.32744E+04
    0.62965E-03    0.33366E+04
    0.64237E-03    0.33999E+04
    0.65535E-03    0.34644E+04
    0.66859E-03    0.35301E+04
    0.68210E-03    0.35969E+04
    0.69588E-03    0.36650E+04
    0.70993E-03    0.37343E+04
    0.72427E-03    0.38048E+04
    0.73891E-03    0.38766E+04
    0.75383E-03    0.39497E+04
    0.76906E-03    0.40242E+04
    0.78460E-03    0.40999E+04
    0.80045E-03    0.41770E+04
    0.81662E-03    0.42555E+04
    0.83311E-03    0.43354E+04
    0.84994E-03    0.44167E+04
    0.86711E-03    0.44994E+04
    0.88463E-03    0.45836E+04
    0.90250E-03    0.46693E+04
    0.92073E-03    0.47565E+04
    0.93933E-03    0.48452E+04
    0.95831E-03    0.49354E+04
    0.97767E-03    0.50273E+04
    0.99742E-03    0.51207E+04
    0.10176E-02    0.52157E+04
    0.10381E-02    0.53123E+04
    0.10591E-02    0.54107E+04
    0.10805E-02    0.55107E+04
    0.11023E-02    0.56124E+04
    0.11246E-02    0.57158E+04
    0.11473E-02    0.58210E+04
    0.11705E-02    0.59279E+04
    0.11941E-02    0.60366E+04
    0.12182E-02    0.61472E+04
    0.12429E-02    0.62596E+04
    0.12680E-02    0.63738E+04
    0.12936E-02    0.64900E+04
    0.13197E-02    0.66080E+04
    0.13464E-02    0.67279E+04
    0.13736E-02    0.68498E+04
