3.22322e+11 0.0169007 0.0169027 0.0168987 0.00656059
4.47242e+11 0.00568706 0.0056882 0.00568592 0.00417767
6.20578e+11 0.0048503 0.00485135 0.00484925 0.00337582
8.61093e+11 0.0041562 0.00415717 0.00415523 0.00269195
1.19482e+12 0.0034108 0.00341168 0.00340992 0.00210595
1.65789e+12 0.00278454 0.00278533 0.00278374 0.00162504
2.30044e+12 0.00218649 0.00218719 0.00218579 0.00123244
3.19201e+12 0.00169757 0.00169819 0.00169695 0.000924152
4.42912e+12 0.00129303 0.00129357 0.00129249 0.000684803
6.1457e+12 0.000980248 0.00098072 0.000979777 0.000502493
8.52756e+12 0.000735025 0.000735433 0.000734616 0.000364282
1.18325e+13 0.000543418 0.000543769 0.000543067 0.000260647
1.64184e+13 0.000399371 0.000399672 0.00039907 0.000184028
2.27817e+13 0.000288623 0.000288879 0.000288367 0.000127719
3.1611e+13 0.000205906 0.000206122 0.00020569 8.70242e-05
4.38624e+13 0.000144317 0.000144498 0.000144136 5.79924e-05
6.08619e+13 9.9104e-05 9.92539e-05 9.8954e-05 3.76444e-05
8.44499e+13 6.62713e-05 6.6394e-05 6.61487e-05 2.36712e-05
1.1718e+14 4.28863e-05 4.2985e-05 4.27877e-05 1.43273e-05
1.62595e+14 2.66408e-05 2.67185e-05 2.6563e-05 8.28052e-06
2.25611e+14 1.58094e-05 1.58693e-05 1.57495e-05 4.5243e-06
3.1305e+14 8.65365e-06 8.69796e-06 8.60934e-06 2.29525e-06
4.34377e+14 4.41646e-06 4.44811e-06 4.3848e-06 1.07513e-06
6.02727e+14 2.02204e-06 2.04346e-06 2.00062e-06 4.52427e-07
8.36323e+14 8.19619e-07 8.33256e-07 8.05981e-07 1.67329e-07
1.16045e+15 2.72072e-07 2.79929e-07 2.64214e-07 5.17663e-08
1.6102e+15 7.82858e-08 8.25006e-08 7.40711e-08 1.34055e-08
2.23426e+15 1.31611e-08 1.48892e-08 1.1433e-08 2.36755e-09
3.10019e+15 3.17682e-09 4.02586e-09 2.32778e-09 5.11904e-10
4.30171e+15 4.53831e-10 7.74738e-10 1.32924e-10 6.3988e-11
