 26915.34      154.9926      137.4750      169.2971     -2.998534      5.391366      55.15506      5.391366      162.7488      137.4750      89.38724      144.2544    
 29006.82      151.9050      134.7354      165.9239     -2.998462      5.391265      54.06012      5.391265      159.5067      134.7354      87.60677      141.3790    
 31260.79      148.1584      131.4112      161.8309     -2.998391      5.391159      52.73066      5.391159      155.5725      131.4112      85.44623      137.8902    
 33689.93      143.8851      127.6199      157.1626     -2.998295      5.391047      51.21374      5.391047      151.0853      127.6199      82.98193      133.9113    
 36307.80      140.7502      124.8384      153.7379     -2.998212      5.390930      50.10201      5.390930      147.7936      124.8384      81.17418      130.9919    
 39129.09      136.8415      121.3705      149.4678     -2.998128      5.390807      48.71482      5.390807      143.6892      121.3705      78.92013      127.3522    
 42169.65      133.8776      118.7406      146.2298     -2.998033      5.390678      47.66396      5.390678      140.5770      118.7406      77.21102      124.5919    
 45446.43      130.6313      115.8602      142.6832     -2.997926      5.390542      46.51255      5.390542      137.1682      115.8602      75.33899      121.5687    
 48977.89      127.5413      113.1185      139.3074     -2.997818      5.390399      45.41686      5.390399      133.9235      113.1185      73.55715      118.6911    
 52783.70      124.0416      110.0134      135.4842     -2.997711      5.390249      44.17526      5.390249      130.2487      110.0134      71.53900      115.4321    
 56885.31      121.3742      107.6464      132.5700     -2.997580      5.390090      43.23007      5.390090      127.4478      107.6464      70.00088      112.9477    
 61305.57      117.8361      104.5072      128.7048     -2.997473      5.389925      41.97472      5.389925      123.7326      104.5072      67.96058      109.6531    
 66069.30      115.1727      102.1438      125.7949     -2.997342      5.389750      41.03097      5.389750      120.9359      102.1438      66.42475      107.1723    
 71203.27      111.8868      99.22831      122.2051     -2.997222      5.389568      39.86537      5.389568      117.4855      99.22831      64.52988      104.1123    
 76736.19      109.5782      97.17956      119.6828     -2.997067      5.389375      39.04808      5.389375      115.0613      97.17956      63.19868      101.9618    
 82698.95      106.6821      94.60980      116.5188     -2.996912      5.389172      38.02140      5.389172      112.0202      94.60980      61.52866      99.26453    
 89125.05      104.2675      92.46701      113.8807     -2.996758      5.388959      37.16632      5.388959      109.4847      92.46701      60.13631      97.01528    
 96050.60      101.6480      90.14259      111.0188     -2.996591      5.388735      36.23825      5.388735      106.7342      90.14259      58.62585      94.57547    
